"","SITE","TAIL_BINS","n","mean_PM","DHW_Mean","DHW_Dur"
"1","TUT-086","Q80",1,50,20.9342250823975,124
"2","TUT-126","Q80",20,47.1,18.3957347869873,149
"3","TUT-139","Q80",12,62.5833333333333,15.5891466140747,149
"4","TUT-157","Q80",4,45,20.9342250823975,124
"5","TUT-171","Q80",48,80.9583333333333,18.8915767669678,149
"6","TUT-214","Q80",21,66.3333333333333,17.4555721282959,118
"7","TUT-216","Q80",25,63.56,20.6169414520264,174
"8","TUT-219","Q80",3,45,17.6321678161621,118
"9","TUT-220","Q80",6,80.8333333333333,19.1003360748291,123
"10","TUT-222","Q80",38,43.7631578947368,14.2315549850464,104
"11","TUT-223","Q80",17,58.5294117647059,15.5891466140747,149
