"","SITE","TAIL_BINS","n","mean_PM","DHW_Mean","DHW_Dur"
"1","TUT-086","QMED",3,5,20.9342250823975,124
"2","TUT-098","QMED",3,12.6666666666667,18.0591239929199,187
"3","TUT-126","QMED",40,29.05,18.3957347869873,149
"4","TUT-139","QMED",36,32.8888888888889,15.5891466140747,149
"5","TUT-157","QMED",11,20.9090909090909,20.9342250823975,124
"6","TUT-171","QMED",23,43.2608695652174,18.8915767669678,149
"7","TUT-214","QMED",33,17.6969696969697,17.4555721282959,118
"8","TUT-216","QMED",39,27.8974358974359,20.6169414520264,174
"9","TUT-219","QMED",10,13,17.6321678161621,118
"10","TUT-220","QMED",6,23.3333333333333,19.1003360748291,123
"11","TUT-222","QMED",51,22.3921568627451,14.2315549850464,104
"12","TUT-223","QMED",46,22.5434782608696,15.5891466140747,149
