"","SITE","SST_range","SST_Mean","DATE_","COLONYLENGTH","MAX_DEPTH_M","Area_surveyed_m2","PER_DEAD","LATITUDE","LONGITUDE","YEAR","TAIL_BINS","Data_Source","Bleaching_Period"
"1","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,11.5824,60,30,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"2","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",20,11.5824,60,5,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"3","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",50,11.5824,60,60,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"4","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",30,11.5824,60,25,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"5","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,11.5824,60,5,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"6","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",30,11.5824,60,60,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"7","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",70,11.5824,60,90,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"8","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,11.5824,60,25,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"9","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",70,11.5824,60,60,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"10","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",50,11.5824,60,50,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"11","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",100,11.5824,60,80,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"12","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",18,11.5824,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"13","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",40,11.5824,60,75,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"14","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",7,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"15","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"16","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",34,11.5824,60,10,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"17","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"18","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",11,11.5824,60,10,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"19","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",6,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"20","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",6,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"21","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",7,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"22","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"23","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"24","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",6,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"25","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"26","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,11.5824,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"27","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",50,11.5824,60,20,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"28","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",35,9.144,60,5,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"29","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",45,9.144,60,95,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"30","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",15,9.144,60,5,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"31","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"32","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",5,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"33","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",10,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"34","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",75,9.144,60,80,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"35","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",15,9.144,60,0,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"36","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",30,9.144,60,5,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"37","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",10,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"38","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",55,9.144,60,5,-14.28309,-170.607,2025,"Q80","esa","Post-Bleaching"
"39","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",30,9.144,60,70,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"40","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",40,9.144,60,10,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"41","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",10,9.144,60,0,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"42","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",40,9.144,60,15,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
"43","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",10,9.144,60,10,-14.28309,-170.607,2025,"Q20","esa","Post-Bleaching"
"44","TUT-214",0.867999776204427,29.579896197293,"3/12/2025",40,9.144,60,10,-14.28309,-170.607,2025,"QMED","esa","Post-Bleaching"
